Core	CPU	C1%	C3%	C6%	C8%	C9%
0	4	0.00	0.00	0.36	0.99	0.00
1	1	0.00	0.00	0.82	0.29	0.00
1	5	0.00	0.02	0.89	0.89	0.00
2	2	0.00	0.00	0.27	0.89	0.00
2	6	0.00	0.00	0.46	0.90	0.00
3	3	0.00	0.00	0.24	0.90	0.00
3	7	0.00	0.00	0.67	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.42	1.09	0.00
0	0	0.00	0.02	0.53	1.00	0.00
0	4	0.00	0.00	0.30	1.10	0.00
1	1	0.00	0.00	0.28	1.09	0.00
1	5	0.00	0.00	0.36	0.80	0.00
2	2	0.00	0.00	0.66	0.91	0.00
2	6	0.00	0.00	0.40	1.69	0.00
3	3	0.00	0.00	0.46	1.22	0.00
3	7	0.00	0.00	0.36	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.33	0.81	0.00
0	0	0.00	0.04	0.48	0.41	0.00
0	4	0.00	0.00	0.18	1.00	0.00
1	1	0.00	0.00	0.44	0.81	0.00
1	5	0.00	0.00	0.23	0.90	0.00
2	2	0.00	0.00	0.37	0.91	0.00
2	6	0.00	0.00	0.27	1.01	0.00
3	3	0.00	0.00	0.36	0.81	0.00
3	7	0.00	0.00	0.31	0.67	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.14	0.59	1.48	0.09
0	0	0.00	0.00	1.33	2.00	0.00
0	4	0.00	0.00	1.04	1.46	0.00
1	1	0.00	0.00	0.31	1.18	0.00
1	5	0.00	0.00	0.41	2.09	0.00
2	2	0.00	0.00	0.38	1.37	0.00
2	6	0.00	0.00	0.55	1.28	0.00
3	3	0.01	1.08	0.28	0.00	0.75
3	7	0.00	0.00	0.39	2.45	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.41	1.00	0.00
0	0	0.00	0.01	0.25	0.89	0.00
0	4	0.00	0.00	0.44	1.19	0.00
1	1	0.00	0.00	0.20	1.18	0.00
1	5	0.00	0.00	0.37	1.28	0.00
2	2	0.00	0.00	0.62	0.89	0.00
2	6	0.00	0.00	0.14	0.98	0.00
3	3	0.00	0.00	0.78	0.80	0.00
3	7	0.00	0.00	0.46	0.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.03	0.51	4.34	0.00
0	0	0.00	0.00	0.09	0.40	0.00
0	4	0.00	0.02	0.59	0.99	0.00
1	1	0.00	0.00	0.56	1.20	0.00
1	5	0.00	0.00	0.62	1.01	0.00
2	2	0.00	0.00	0.27	1.01	0.00
2	6	0.00	0.00	0.32	0.90	0.00
3	3	0.00	0.00	0.44	0.70	0.00
3	7	0.01	0.19	1.19	28.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.49	0.82	0.00
0	0	0.00	0.00	0.37	0.59	0.00
0	4	0.00	0.04	0.82	0.30	0.00
1	1	0.00	0.00	0.22	0.98	0.00
1	5	0.00	0.00	0.68	0.99	0.00
2	2	0.00	0.00	0.36	0.89	0.00
2	6	0.00	0.00	0.36	0.88	0.00
3	3	0.00	0.00	0.22	1.09	0.00
3	7	0.00	0.00	0.88	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.00	0.64	0.79	0.00
0	0	0.00	0.00	1.04	0.21	0.00
0	4	0.00	0.03	1.10	0.87	0.00
1	1	0.00	0.00	0.28	0.99	0.00
1	5	0.00	0.00	0.26	0.89	0.00
2	2	0.00	0.00	1.02	0.79	0.00
2	6	0.10	0.02	0.89	0.49	0.00
3	3	0.00	0.00	0.19	0.89	0.00
3	7	0.00	0.00	0.36	1.22	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.07	0.48	0.96	0.00
0	0	0.00	0.00	0.34	0.90	0.00
0	4	0.00	0.00	1.19	0.89	0.00
1	1	0.00	0.51	0.53	1.10	0.00
1	5	0.00	0.01	0.36	1.56	0.00
2	2	0.00	0.00	0.18	0.89	0.00
2	6	0.00	0.00	0.64	0.99	0.00
3	3	0.00	0.00	0.35	0.69	0.00
3	7	0.00	0.02	0.27	0.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.33	0.48	1.46	0.01
0	0	0.00	0.00	0.53	2.50	0.00
0	4	0.00	0.04	0.62	1.28	0.00
1	1	0.00	0.00	0.22	1.28	0.00
1	5	0.00	0.00	0.29	1.18	0.00
2	2	0.00	0.00	1.14	1.48	0.00
2	6	0.00	0.00	0.55	1.67	0.00
3	3	0.00	2.57	0.12	0.00	0.05
3	7	0.00	0.00	0.39	2.26	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.54	0.96	0.00
0	0	0.00	0.00	0.22	0.39	0.00
0	4	0.00	0.04	1.53	1.08	0.00
1	1	0.00	0.00	0.21	0.89	0.00
1	5	0.00	0.00	0.46	0.80	0.00
2	2	0.00	0.00	0.42	0.99	0.00
2	6	0.00	0.00	0.26	0.90	0.00
3	3	0.00	0.01	0.78	0.80	0.00
3	7	0.00	0.00	0.45	1.81	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	0.01	0.44	0.93	0.00
0	0	0.00	0.00	0.40	1.42	0.00
0	4	0.00	0.04	0.31	1.19	0.00
1	1	0.00	0.00	0.45	0.21	0.00
1	5	0.18	0.00	0.06	0.51	0.00
2	2	0.25	0.00	0.37	0.50	0.00
2	6	0.00	0.02	0.90	0.41	0.00
3	3	0.00	0.00	0.57	1.10	0.00
3	7	0.00	0.00	0.44	2.13	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.58	0.80	0.00
0	0	0.00	0.00	0.01	0.59	0.00
0	4	0.00	0.02	1.16	0.89	0.00
1	1	0.00	0.00	0.44	0.99	0.00
1	5	0.00	0.00	0.32	1.09	0.00
2	2	0.00	0.00	1.66	0.79	0.00
2	6	0.00	0.00	0.48	0.60	0.00
3	3	0.00	0.00	0.36	0.69	0.00
3	7	0.00	0.02	0.19	0.75	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.58	1.19	0.00
0	0	0.00	0.00	0.45	1.09	0.00
0	4	0.00	0.00	0.56	1.19	0.00
1	1	0.00	0.02	0.66	0.51	0.00
1	5	0.00	0.00	0.67	0.91	0.00
2	2	0.00	0.02	1.02	1.90	0.00
2	6	0.00	0.00	0.34	1.09	0.00
3	3	0.00	0.02	0.55	1.21	0.00
3	7	0.00	0.00	0.38	1.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.48	0.79	0.00
0	0	0.00	0.00	0.63	0.10	0.00
0	4	0.00	0.02	1.01	0.49	0.00
1	1	0.00	0.00	0.28	1.09	0.00
1	5	0.00	0.00	0.39	0.89	0.00
2	2	0.00	0.00	0.87	1.19	0.00
2	6	0.00	0.00	0.10	1.09	0.00
3	3	0.00	0.00	0.28	0.79	0.00
3	7	0.00	0.00	0.32	0.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.20	0.52	1.03	0.12
0	0	0.00	0.00	0.81	1.60	0.00
0	4	0.00	0.02	0.67	0.69	0.00
1	1	0.00	0.01	0.21	0.70	0.00
1	5	0.00	0.00	0.38	0.89	0.00
2	2	0.00	0.00	0.56	1.28	0.00
